Name,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
J. Torunarigha,65,69,58,54,52,51,62,31,34,42,33,25,5,7,13,5,11,66,58,64,51,25,64,42,31,56,57,45,63,75,52,67,76,47,22,CB
Leonardo,71,79,44,78,85,76,61,70,67,74,70,72,11,6,9,10,14,40,33,55,65,64,27,62,62,54,71,71,23,77,70,27,62,64,64,RM
A. Al Sulayhim,65,83,59,91,86,67,62,51,68,66,49,64,8,15,11,9,14,53,55,77,66,51,60,41,61,70,68,57,56,68,78,63,57,62,46,CDM
A. Mitryushkin,69,30,33,31,51,19,26,11,17,20,17,15,71,64,66,69,72,14,16,60,22,14,18,23,13,63,27,23,19,41,25,16,68,41,16,GK 
S. Wuytens,73,56,62,68,66,73,75,68,74,64,47,75,13,8,13,15,15,74,72,75,76,72,66,55,58,73,76,72,69,61,83,70,73,72,60,CB
Caio Milaçar,74,68,41,76,85,75,79,59,68,75,72,64,10,11,12,11,13,47,43,48,60,63,38,73,68,74,75,60,30,66,67,32,44,76,69,CAM 
A. Dudiev,68,82,72,64,75,70,69,66,55,69,15,53,12,12,10,7,9,53,64,56,64,38,60,46,63,71,70,67,63,92,67,61,69,69,24,RM
J. Augustin,72,79,32,76,74,72,53,65,50,75,78,38,14,6,8,12,6,58,16,67,53,56,15,68,79,62,66,65,17,79,62,16,63,61,62,RW
J. Bamert,59,66,55,51,61,54,55,41,33,44,23,32,7,11,6,9,7,57,54,64,34,24,59,39,37,55,49,30,61,52,57,66,57,34,31,RB
A. Esswein,73,86,76,67,64,72,67,70,68,74,68,54,7,16,10,12,11,67,28,80,62,70,18,60,70,74,68,86,27,91,68,35,77,59,68,LM
C. Dielna,68,69,79,57,56,58-2,53,57-10,52-6,38,36,62-4,1,1,1,1,1,60,62-1,63,61,53-14,66+1,52,35,65,60-3,71-6,65,64,73-2,65-2,85-5,33,38,LB
D. Amankwaa,65,81,48,83,78,68,59,63,44,67,58,42,11,10,10,7,8,48,32,87,50,54,23,41,58,56,60,56,24,87,59,27,63,54,53,RM
G. Terrani,61,71,27,62,68,61,56,58,41,66,62,41,8,7,6,10,10,46,25,44,52,48,26,55,61,56,53,61,22,73,58,31,60,55,48,CF
C. Groß,67,68,67,70,65,65,68,49,65,54,43,53,7,8,6,16,12,56,67,68,59,40,63,63,47,68,66,46,62,64,76,64,72,63,35,CDM
C. Borja,67,90,63,78,68,65,45,66,46,63,48,42,13,11,15,12,6,58,59,71,64,52,54,46,58,66,59,45,62,85,78,65,58,62,31,LB
K. Rozo,56,64,57,75,76,55,55,36,38,53,40,44,5,13,7,10,14,47,57,57,52,46,33,38,60,48,58,49,36,68,59,34,59,57,44,CAM 
A. Ammitzbøl,55,71+6,38,62,59,51,43,37,33,48,59,31,12,10,10,13,13,54,13,63,29,48,15,61,55,53,43,52,18,72+12,56,14,52,40,34,ST 
C. Benschop,70,52,74,53,56,67,68,58,60,66,69,68,15,16,7,9,11,65,29,34,58,66,28,74,68,65,63,83,26,66,62,44,90,66,59,CAM
J. Veale,54,70,50,70,75,51,54,46,44,50,48,45,6,12,11,6,6,43,21,68,58,52,36,48,55,51,68,63,46,68,54,40,55,54,46,CM 
Adrián,62,65,50,50,61,48,55,59,28,44,23,32,11,12,9,13,7,57,63,74,37,27,64,41,33,48,54,45,63,59,62,67,63,32,35,LB
D. Stotskiy,72,82,63,91,86,71,64,76,60,70,65,62,14,8,14,14,15,69,61,72,68,60,58,62,64,68,72,69,67,79,84,69,35,67,53,LWB
Vesga,72,55,64,57,48,70,61,56,60,64,49,28,12,11,16,6,13,55,70,55,73,61,69,57,49,61,71,77,67,58,77,73,80,72,40,CM
O. Kurt,62,72,55,87,87,66,62,49,53,64,44,44,15,16,15,13,9,37,57,62,64,39,49,51,46,58,67,60,59,69,65,60,39,59,45,CDM
A. Weimann,69,82,76,73,58,70,63,48,68,73,68,64,11,9,16,12,6,68,43,45,40,69,29,75,70,73,68,78,34,82,78,37,63,59,59,RM
M. Jimañez,73,66,55,76,66,76,71,53,83,76,75,71,14,16,16,11,16,64,25,73,56,69,22,76,67,67,56,86,22,85,74,25,69,56,77,LM
F. Lanzillotta,65,24,16,25,38,13,17,18,20,12,16,12,66,65,61,63,68,17,11,66,21,17,20,24,15,53,28,23,15,23,21,15,53,24,19,GK 
A. Androutsos,68,78,47,71,68,70,66,60,63,68,66,60,10,8,11,10,13,55,55,56,64,62,57,59,56,65,72,64,51,75,70,52,59,64,64,CAM
A. Maksimenko,57,77,34,73,81,56,46,50,51,63,51,44,12,11,9,9,8,45,28,42,47,43,35,47,48,45,57,56,36,77,51,30,40,49,47,ST
N. Townsend,58,47,20,42,55,19,26,15,20,15,15,16,54,61,44,61,57,17,18,59,21,20,18,30,18,50,28,24,19,49,29,20,59,27,14,GK 
C. Chapman,63,57,51,46,51,50,61,30,34,40,21,26,8,12,12,10,15,62,63,41,49,34,68,36,32,47,60,49,65,61,67,66,71,40,30,CB 
T. Anderson,50,73,50,57,77,48,47,32,34,45,27,33,5,8,7,12,9,48,40,62,54,38,31,42,54,50,53,47,47,71,58,36,49,49,32,CM
B. Cargill,65,63,55,57,51,54,45,37,29,60,30,30,7,7,9,13,9,69,60,59,52,28,64,39,35,54,63,26,64,57,56,69,76,34,21,CB
K. Ajer,67,74,63,55,41,66,70,55,58,64,58,52,9,9,14,7,10,65,63,58,64,59,63,49,52,64,68,64,64,75,80,65,78,64,41,CB 
Abraham,71,70,80,72,72,73,66,72,76,71,41,56,11,8,7,14,11,57,71,68,58,58,66,57,63,64,68,69,72,74,75,68,74,66,36,LM
José Mari,72,68,75,60,69,74,60,58,71,66,49,56,8,14,12,6,14,57,75,73,70,68,59,53,58,71,73,77,67,67,72,74,71,66,66,CDM
D. Amos,48,59,51,60,73,49,55,41,46,49,35,39,12,10,15,11,12,41,45,58,49,36,42,47,38,45,52,42,43,68,48,45,56,46,35,LM
D. Geurts,61,87,36,78,77,62,47,54,66,65,43,44,8,7,10,8,15,34,15,65,46,52,15,42,52,50,60,62,16,82,53,18,54,51,48,LM
M. Lais,67,85,59,78,74,71,63,53,52,63,58,39,8,11,8,13,12,54,65,74,67,55,64,63,54,69,67,47,61,84,76,62,57,64,46,CM
M. Könnecke,66,90,54,80,78,67,59,63,62,66,62,52,12,11,7,9,13,52,48,74,57,63,20,50,61,62,58,61,13,90,78,21,45,64,51,CM
J. Nadeau,66,63,69,59,60,40,59,40,38,43,28,34,7,12,12,16,14,63,61,71,52,30,65,47,37,53,56,27,66,60,63,69,78,33,30,CB
R. Pröpper,68,52,65,60,55,63,63,29,64,51,36,67,11,8,6,14,14,68,64,65,68,71,70,44,31,59,65,76,64,51,66,67,76,59,34,CB 
P. Kristensen,64,73,67,81,82,66,61,61,61,62,58,53,7,6,11,10,12,54,66,73,63,59,56,49,64,72,65,67,59,64,66,56,62,60,49,LB
E. Marxen,65,67,51,63,61,64,56,64,64,59,41,63,9,7,11,12,11,58,58,61,59,61,63,56,47,55,64,37,65,66,73,67,67,38,34,LB 
José Perales,65,25,27,55,51,14,41,10,15,11,10,13,62,64,65,68,67,14,23,61,37,15,8,19,8,53,32,28,13,28,32,16,68,41,13,GK 
L. Guwara,66,68,70,64,59,64,45,63,45,63,28,35,14,11,7,9,13,54,70,65,51,32,60,42,57,62,62,41,64,69,66,67,69,44,31,LB 
D. Bakker,67,55,77,69,65,68,67,65,56,64,39,62,8,6,10,7,14,63,66,72,67,61,62,47,56,65,67,70,66,53,74,63,62,65,41,CM
L. Ponzio,76,66,80,75,67,74,73,67,57,65,47,70,16,9,10,14,12,65,76,77,74,70,79,70,69,78,75,79,77,47,73,76,71,69,41,CDM 
M. Place,56,72,43,64,60,57,57,50,53,57,52,44,8,8,13,10,11,46,28,58,48,43,36,46,48,42,56,48,40,71,59,44,46,55,44,CM
T. Kishimoto,57,67,67,65,77,56,44,30,37,43,56,29,7,6,14,8,8,55,12,76,33,46,17,63,56,45,41,64,11,68,67,15,80,41,34,ST 
J. Gatt,65,90,70,76,68,66,55,59,50,71,59,43,12,12,13,13,9,52,58,68,46,60,53,43,61,65,55,60,42,90,35,45,63,60,53,LM
S. Larsson,76,76,52,83,76,81,74,70,75,86,72,77,14,12,15,10,7,42,55,50,70,80,32,55,68,70,71,77,25,77,75,42,64,77,65,LW 
Higinio,63,62,36,61,57,62,49,49,46,60,58,40,12,12,11,9,13,65,26,65,41,67,19,62,64,67,62,59,31,66,56,33,63,48,58,RW
Héctor Bellerín,81,96,72,84,77,79,72,76,63,76,52,50,8,14,14,13,12,60,78,65,59,43,75,62,67,78,75,52,81,94,87,77,62,63,41,RB 
O. Mandanda,62,30,25,24,48,19,37,10,10,8,6,12,67,63,59,62,66,13,11,63,28,8,8,12,7,32,18,19,10,23,21,14,53,36,5,GK 
D. Ndongala,71,88,39,90,89,73,69,71,68,78,52,57,11,10,9,10,15,38,28,88,54,54,18,54,63,68,65,60,24,83,70,29,41,64,64,RM 
V. Jovic,56,45,38,33,36,21,38,15,12,14,13,13,52,55,55,55,57,12,17,60,26,12,13,23,12,59,24,22,11,40,30,12,69,36,13,GK 
N. Gjorgjev,68,84,48,81,79,72,61,64,67,76,56,52,10,11,15,7,7,42,18,57,43,60,24,51,60,63,64,66,32,78,65,29,40,58,64,RM
R. Centurión,74,88,59,87,85,77,71,66,68,82,65,71,7,6,7,11,8,63,40,55,63,64,28,67,61,75,67,65,47,86,87,45,46,69,60,CAM
I. Doumbia,65,65,68,67,62,68,57,53,37,67,26,41,8,11,14,12,7,61,60,64,65,38,53,42,38,61,68,56,61,70,73,66,78,56,35,CM
K. Marsh-Brown,63,75,57,63,73,63,58,60,52,66,59,57,11,8,11,12,10,34,43,49,54,60,43,45,53,55,56,63,48,79,73,45,53,56,50,RM
T. Väyrynen,62,53,45,51,50,63,56,30,52,45,58,45,7,15,16,15,11,69,19,54,36,58,23,67,57,60,59,69,25,53,52,31,85,48,57,ST 
K. Malcuit,75,80,74,77,70,75,67,77,58,79,66,47,12,13,12,9,11,63,71,72,66,56,68,55,65,68,73,66,75,88,74,74,77,62+8,56,RM
Pedro Nuno,71,73,66,75,69,75,65,66,74,73,64,72,14,9,8,11,15,40,52,67,66,68,29,68,65,73,70,79,28,68,68,33,48,70,64,CAM
N. Toko,67,91,81,92,81,69,67,53,45,66,48,36,12,15,8,14,11,47,62,92,65,57,62,44,65,63,68,64,66,91,90,65,70,63,65,CDM
Sebas Moyano,61,71,46,71,78,62,52,52,58,69,47,52,13,11,7,8,13,37,26,53,55,44,44,49,58,48,61,43,40,68,50,35,30,60,63,RM
J. Mezú,68,84,50,83,82,66,53,69,72,68,53,78,9,11,8,7,9,27,52,85,73,48,56,33,67,63,67,51,49,83,68,57,56,73,49,CAM
Nuno Santos,72,82,67,77,72,74+1,64+4,73+3,77,78+3,59,73,14,7,8,9,15,57,41,57,63,71,24,71,68+2,72+4,67,79,26,75,65,22,63,65,68,LW
M. Krohn-Dehli,79,69,67,76,78,78,73,82,77,77,76,83,10,8,15,16,11,50,75,57,81,68,54,76,82,85,80,81,61,66,67,73,66,86,53,CM
M. Pigliacelli,68,45,23,35,37,32,43,18,14,21,19,19,68,66,85,64,71,11,23,64,28,14,18,21,10,58,35,42,19,44,35,22,51,33,9,GK 
F. Nouble,65,77,56,63,46,61,55,61,54,66,63,51,13,13,9,6,11,60,35,54,40,57,15,45,61,57,45,72,15,79,64,19,86,62,65,LM
Gabrielzinho,70,87,34,90,89,75,73,61,48,72,64,44,9,7,9,15,9,69,21,64,43,48,20,60,72,70,63,67,26,88,68,32,34,56,52,RW
S. Buchta,59,70,48,66,66,57,47,59,40,58,37,45,10,13,15,7,11,48,49,61,58,41,51,53,44,54,63,57,57,67,72,59,58,55,42,LM
S. Domínguez,70,39,79,46,52,56,76,36,65,52,30,67,9,8,9,12,15,63,69,68,61,62,70,43,46,65,60,67,67,52,34,69,80,41,38,CB 
M. Boben,63,63,61,44,54,33,57,31,28,30,19,31,13,15,10,7,16,70,63,65,24,27,63,38,30,51,31,38,66,67,57,65,75,33,29,CB 
D. Rosin,59,66,60,68,66,64,51,49,55,66,41,38,11,11,8,9,8,39,57,60,54,42,48,47,47,49,58,54,50,66,76,56,60,52,38,LM 
M. Falkesgaard,65,44,44,58,67,23,52,10,10,12,8,12,64,64,67,66,63,17,20,67,37,9,17,13,17,59,39,15,14,53,45,10,65,41,12,GK 
S. Elbers,67,79,57,76,76,69,67,60,51,75,70,53,11,6,13,11,13,44,30,62,55,67,26,46,57,60,64,65,24,78,69,29,49,53,49,LM
M. Duelund,69,74,75,81,76,71,66,65,63,73,68,63,15,15,15,7,10,61,47,74,67,61,44,60,68,68,70,63,42,76,83,50,61,68,55,CM
Lee Seok Hyun,66,73,38,72,69,65,54,60,67,62,58,69,7,13,7,12,9,55,53,59,67,67,12,63,67,63,72,66,13,71,75,18,52,72,52,CAM
G. Hein,65,75,59,85,87,67,55,51,60,66,57,60,13,7,5,9,15,32,40,48,63,65,39,40,65,58,68,61,46,72,54,44,38,61,48,LM
M. Frantz,73,66,81,66,75,69,72,74,69,71,62,62,15,12,7,15,8,51,72,62,70,66,59,57,66,76,75,74,67,67,84,68,76,70,58,RM
J. Vela,68,77,28,71,72,68,45,69,66,70,49,64,6,11,14,10,9,48,18,73,61,63,39,60,68,62,65,54,24,73,74,19,42,73,47,CAM
I. Depe,66,79,48,77,84,70,56,62,62,72,37,62,16,12,13,7,9,38,16,68,58,41,22,57,61,60,63,54,37,78,65,29,52,59,49,RM
J. Hernández,64,82,36,70,70,61,56,58,43,63,64,36,9,11,11,9,6,58,23,65,55,61,31,44,60,63,61,65,37,79,74,33,62,55,50,ST
M. Cáceres,77,74,76,79,74,64,76,68,68,60,37,41,2,3,4,2,4,76,80,91,65,59,80,50,50,70,65,70,77,74,72,78,74,58,65,CB
B. Zungu,75,70,74,68,66,77,75,72,75,76,65,59,6,14,12,15,16,59,74,80,75,61,72,69,67,75,75,70,70,76,89,74,74,72,71,CDM
M. Woolford,69,68,66,68,64,69,60,68,65,70,64,50,7,11,7,6,9,58,44,63,67,62,30,63,67,66,68,70,27,68,73,30,73,64,68,RM
F. Montero,76,72,52,86,84,79,75,68-8,86,76,75,76,10,8,9,10,14,75,40,73-8,66,75,29,77,77,74,67-5,80,27,72,74,46+10,58,71-2,79,ST
H. Al Watyan,56,48,23,31,53,20,28,11,16,16,11,16,55,58,47,52,58,19,22,56,24,17,17,20,10,50,22,23,13,48,30,17,76,38,19,GK 
T. Tomiyama,64,74,38,59,63,65,55,53,39,63,68,29,5,14,9,6,12,65,19,78,34,56,15,63,63,53,44,60,19,71,63,10,71,48,42,ST 
A. Azeez,59,89,29,76,59,51,62,40,37,56,56,29,15,15,14,12,14,55,15,64,41,49,20,55,54,57,49,54,16,88,63,19,63,47,48,RW
V. Lindelöf,79,68,80,64,47,62,70,48,64,59,36,66,12,16,8,7,9,78,81,81,68,57,79,55,37,78,74,68,77,72,77,79,79,49,34,CB 
K. Möhwald,73,65,53,73,70,71,73,82,80,74,56,68,15,13,12,10,8,54,49,55,76,82,41,46,69,75,74,82,31,68,79,56,65,72,75,CAM
A. Potuk,77,87,78,89,83,76,73,74,74,82,66,40,12,12,7,10,8,62,46,72,76,70,46,56,74,76,78,74,54,86,72,48,61,71,54,CAM
W. Vaulks,64,61,58,61,65,63,36,51,42,56,54,50,15,15,16,9,13,64,64,66,62,69,61,52,23,53,65,68,62,60,73,63,72,66,28,CM
Alberto,70,68,79,61,71,65,62,42,45,54,42,53,7,13,11,13,8,63,71,71,57,65,70,47,50,64,70,80,61,63,86,73,81,57,31,CDM
M. Al Mutairi,52,53,49,45,69,29,37,25,26,23,18,21,10,8,6,13,13,46,48,73,28,22,45,33,22,48,34,37,54,56,65,54,70,34,29,CB 
Heitinho Zanon,73,60,79,68,50,48,70,51,33,22,29,49,14,18,18,16,11,63,77,79,44,25,76,44,22,79,48,56,75,62,77,73,74,44,24,CB
F. Daprelà,69,72,63,74,62,71,70,66,53,69,47,42,5,11,7,11,6,61,61,78,61,61,65,48,61,65,66,58,66,78,84,64,79,59,46,LB
C. Laprevotte,64,70,62,71,72,65,51,53,46,60,54,43,11,8,8,7,6,41,61,61,65,53,58,49,52,62,67,62,60,72,66,61,67,66,47,LM
A. Basuljevic,56,66,60,60,73,56,48,46,44,54,39,42,13,6,12,11,10,41,46,66,54,52,42,59,55,51,58,59,48,64,77,42,56,55,41,CAM
S. Kind Mikalsen,65,74,64,70,59,60,60,60,58,57,60,47,15,6,7,7,8,63,66,77,55,61,61,42,57,60,59,63,63,75,67,64,72,45,47,LB
O. Edlund,53,63,27,57,71,45,41,26,30,46,58,26,13,11,15,8,15,58,19,62,54,50,17,61,46,53,57,48,11,61,56,17,42,44,32,ST 
J. de Alba,58,66,54,50,63,45,48,33,31,30,25,28,12,12,14,9,7,60,48,49,39,29,56,49,24,52,59,62,58,64,63,63,70,33,34,CB 
R. Espinoza,71,64,86,72,75,69,69,60,67,71,62,58,15,10,7,10,7,70,70,79,71,69,69,60,65,73,69,81,70,65,84,69,69,67,59,CDM
