Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
57,57,58,56,51,42,40,34,48,39,33,44,48,61,49,30,46,42,37,54,56,50,56,64,47,51,54,56,29,CM
64,80,57,61,63,61,59,52,57,44,55,71,66,45,58,42,71,58,43,60,61,58,70,70,82,72,75,45,54,CB
64,80,57,61,63,61,59,52,57,44,55,71,66,45,58,42,71,58,43,60,61,58,70,70,82,72,75,45,54,RB
62,73,57,66,69,70,57,49,68,49,64,67,66,75,65,70,60,55,64,66,67,80,66,55,70,69,85,64,57,CM
62,73,57,66,69,70,57,49,68,49,64,67,66,75,65,70,60,55,64,66,67,80,66,55,70,69,85,64,57,CDM
80,69,78,85,75,65,70,77,77,65,75,54,56,63,76,75,59,76,66,73,77,80,62,78,82,63,45,75,51,CAM
80,69,78,85,75,65,70,77,77,65,75,54,56,63,76,75,59,76,66,73,77,80,62,78,82,63,45,75,51,CM
73,33,56,67,53,51,34,42,57,61,36,58,21,78,38,59,21,67,53,52,50,63,19,72,59,21,69,53,47,ST
74,57,70,62,74,59,63,46,75,52,33,60,65,60,58,37,64,43,67,69,66,48,62,73,78,68,71,62,35,RB
76,60,72,61,73,69,71,58,73,55,52,54,35,61,68,60,38,51,68,69,71,66,37,77,82,39,75,69,56,RWB
76,60,72,61,73,69,71,58,73,55,52,54,35,61,68,60,38,51,68,69,71,66,37,77,82,39,75,69,56,RM
76,60,72,61,73,69,71,58,73,55,52,54,35,61,68,60,38,51,68,69,71,66,37,77,82,39,75,69,56,RW
67,75,70,64,64,62,59,55,61,57,41,42,65,69,63,62,70,65,47,57,67,64,63,64,65,67,70,59,44,CM
67,75,70,64,64,62,59,55,61,57,41,42,65,69,63,62,70,65,47,57,67,64,63,64,65,67,70,59,44,CDM
